"keyword","range","default","min","max"
"aadjust","0.5 - 2.","1.",0.5,2
"avadjust","0.5 - 2.","1.",0.5,2
"avdadjust","0.5 - 2.","1.",0.5,2
"avsoadjust","0.5 - 2.","1.",0.5,2
"d1adjust","0.2 - 5.","1.",0.2,5
"d2adjust","0.2 - 5.","1.",0.2,5
"d3adjust","0.2 - 5.","1.",0.2,5
"egradjust","0.1 - 10.","1.",0.1,10
"gamgamadjust","0.1 - 10.","1.",0.1,10
"ggradjust","0.1 - 10.","1.",0.1,10
"gnadjust","0.5 - 2.","1.",0.5,2
"gpadjust","0.5 - 2.","1.",0.5,2
"rcadjust","0.5 - 2.","1.",0.5,2
"rvadjust","0.5 - 2.","1.",0.5,2
"rvdadjust","0.5 - 2.","1.",0.5,2
"rvsoadjust","0.5 - 2.","1.",0.5,2
"s2adjust","0.01 - 10.","1.",0.01,10
"sgradjust","0.1 - 10.","1.",0.1,10
"v1adjust","0.2 - 5.","1.",0.2,5
"v2adjust","0.2 - 5.","1.",0.2,5
"v3adjust","0.2 - 5.","1.",0.2,5
"v4adjust","0.2 - 5.","1.",0.2,5
"vso1adjust","0.2 - 5.","1.",0.2,5
"vso2adjust","0.2 - 5.","1.",0.2,5
"w1adjust","0.2 - 5.","1.",0.2,5
"w2adjust","0.2 - 5.","1.",0.2,5
"w3adjust","0.2 - 5.","1.",0.2,5
"w4adjust","0.2 - 5.","1.",0.2,5
"wso1adjust","0.2 - 5.","1.",0.2,5
"wso2adjust","0.2 - 5.","1.",0.2,5
"rwsoadjust","0.5 - 2.","1.",0.5,2
"awadjust","0.5 - 2.","1.",0.5,2
"rwdadjust","0.5 - 2.","1.",0.5,2
"awsoadjust","0.5 - 2.","1.",0.5,2
"awdadjust","0.5 - 2.","1.",0.1,10
